size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below
118000	119000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
119000	120000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
120000	121000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
121000	122000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
122000	123000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
123000	124000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
124000	125000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
125000	126000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
126000	127000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
127000	128000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
128000	129000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
129000	130000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
130000	131000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
131000	132000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
132000	133000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
133000	134000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
134000	135000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
135000	136000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
136000	137000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
137000	138000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
138000	139000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
139000	140000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
140000	141000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
141000	142000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
