size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below	cut.off
114000	115000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
115000	116000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
116000	117000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
117000	118000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
118000	119000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
119000	120000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
120000	121000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
121000	122000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
122000	123000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
123000	124000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
124000	125000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
125000	126000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
126000	127000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
127000	128000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
128000	129000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
129000	130000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
130000	131000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
131000	132000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
132000	133000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
133000	134000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
134000	135000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
135000	136000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
136000	137000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
137000	138000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
138000	139000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
139000	140000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
140000	141000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
141000	142000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
142000	143000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
143000	144000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
144000	145000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
145000	146000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
146000	147000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
147000	148000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
148000	149000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
149000	150000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
150000	151000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
151000	152000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
152000	153000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
153000	154000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
154000	155000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
155000	156000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
156000	157000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
157000	158000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
158000	159000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
159000	160000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
160000	161000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
161000	162000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
162000	163000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
163000	164000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
164000	165000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
165000	166000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
166000	167000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
167000	168000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
168000	169000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
169000	170000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
170000	171000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
171000	172000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
172000	173000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
173000	174000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
174000	175000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
175000	176000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
176000	177000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
177000	178000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
178000	179000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
179000	180000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
180000	181000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
181000	182000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
182000	183000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
183000	184000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
184000	185000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
185000	186000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
186000	187000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
187000	188000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
188000	189000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
189000	190000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
190000	191000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
191000	192000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
192000	193000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
193000	194000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
194000	195000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
195000	196000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
196000	197000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
197000	198000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
198000	199000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
199000	2e+05	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
2e+05	201000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	31
